study,model,prob_plax_far,prob_plax_plax,prob_plax_laz,prob_psax_az,prob_psax_mv,prob_psax_pap,prob_a2c_lvocc_s,prob_a2c_laocc,prob_a2c,prob_a3c_lvocc_s,prob_a3c_laocc,prob_a3c,prob_a4c_lvocc_s,prob_a4c_laocc,prob_a4c,prob_a5c,prob_other,prob_rvinf,prob_psax_avz,prob_suprasternal,prob_subcostal,prob_plax_lac,prob_psax_apex
2.16.840.1.114535.0.2.1573669948939.2311.0.109,view_23_e5_class_11-Mar-2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.16.840.1.114535.0.2.1573669948939.2311.0.107,view_23_e5_class_11-Mar-2018,0.000100000005,0.0,0.0,0.000100000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1365,0.000100000005,0.0,0.32270002,0.5396,0.0,0.0
2.16.840.1.114535.0.2.1573669948939.2311.0.103,view_23_e5_class_11-Mar-2018,0.000100000005,0.0,0.0,0.030799996,0.0,0.0005,0.0,0.0077999993,0.007,0.0,0.00040000002,0.0,0.0013,0.0,0.0,0.0,0.69929993,0.022599999,0.0017000001,0.09300001,0.1317,0.0027,0.0003
2.16.840.1.114535.0.2.1573669948939.2311.0.104,view_23_e5_class_11-Mar-2018,0.0,0.0,0.0,0.0066,0.0,0.000100000005,0.0,0.0005,0.00040000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44989997,0.0046,0.0013000001,0.13290001,0.40159997,0.0009,0.0
2.16.840.1.114535.0.2.1573669948939.2311.0.100,view_23_e5_class_11-Mar-2018,0.00020000001,0.0,0.0,0.0018000001,0.00020000001,0.00020000001,0.00020000001,0.08629999,0.0066999993,0.0,0.0048999996,0.000100000005,0.0087,0.4975,0.305,0.0132,0.052300006,0.0014000001,0.001,0.0028,0.0054999995,0.009299999,0.0015000001
2.16.840.1.114535.0.2.1573669948939.2311.0.106,view_23_e5_class_11-Mar-2018,0.001,0.0,0.0,0.0049,0.0,0.000100000005,0.0,0.0006,0.0022,0.0,0.000100000005,0.0,0.0,0.0,0.0,0.00020000001,0.1934,0.0024,0.0003,0.6517,0.1412,0.0006,0.0
2.16.840.1.114535.0.2.1573669948939.2311.0.101,view_23_e5_class_11-Mar-2018,0.0005,0.000100000005,0.0030999999,0.5747,0.0013,0.00040000002,0.0019999999,0.0067999996,0.0003,0.0045000003,0.017199999,0.0040999996,0.018600002,0.0285,0.0045999996,0.0183,0.0537,0.0155,0.10170001,0.0017000001,0.0854,0.0551,0.00090000004
2.16.840.1.114535.0.2.1573669948939.2311.0.105,view_23_e5_class_11-Mar-2018,0.00090000004,0.0,0.0,0.0117999995,0.0,0.0012,0.0,0.0018000001,0.0006,0.0,0.0,0.000100000005,0.0,0.0003,0.0,0.0,0.19589998,0.009000001,0.00080000004,0.37299997,0.40130004,0.0017000001,0.00020000001
2.16.840.1.114535.0.2.1573669948939.2311.0.108,view_23_e5_class_11-Mar-2018,0.0,0.0,0.0,0.0063999994,0.0,0.0,0.0,0.0003,0.0,0.0,0.000100000005,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0042,0.9806,0.0003,0.0033,0.0013000001
2.16.840.1.114535.0.2.1573669948939.2311.0.102,view_23_e5_class_11-Mar-2018,0.0,0.0,0.00070000003,0.0465,0.0,0.0015,0.0037999998,0.00040000002,0.0014000001,0.000100000005,0.00020000001,0.0,0.0006,0.0021000002,0.0,0.00080000004,0.5222,0.000100000005,0.3411,0.017199999,0.0542,0.005,0.0011000001
